Title,Authors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Supplement,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Avg per Year Since Publication,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SKIP AND SCAN TELEPHONE MENUS - USER PERFORMANCE AS A FUNCTION OF EXPERIENCE,"VIRZI, RA; RESNICK, PAUL; OTTENS, D",,"PROCEEDINGS OF THE HUMAN FACTORS SOCIETY, 36TH ANNUAL MEETING, VOLS 1 AND 2: INNOVATIONS FOR INTERACTIONS",1992,1992,,,,211,215,,,36TH ANNUAL MEETING OF THE HUMAN FACTORS SOC : INNOVATIONS FOR INTERACTIONS,"OCT 12-16, 1992",1,0.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MULTIPLE DIMENSIONS OF GENERALIZATION IN MODEL-BASED TROUBLESHOOTING,"DAVIS, R; RESNICK, PAUL",,PROCEEDINGS OF THE ELEVENTH NATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE,1993,1993,,,,160,167,,,11th National Conference on Artificial Intelligence (AAAI-93),"JUL 11-15, 1993",1,0.03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHONE-BASED CSCW - TOOLS AND TRIALS,"RESNICK, PAUL",,ACM TRANSACTIONS ON INFORMATION SYSTEMS,OCT 1993,1993,11,4,,401,424,,10.1145/159764.159760,,,3,0.09,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roles for electronic brokers,"RESNICK, PAUL; ZECKHAUSER, R; AVERY, C","Brock, GW",TOWARD A COMPETITIVE TELECOMMUNICATION INDUSTRY: SELECTED PAPERS FROM THE 1994 TELECOMMUNICATIONS POLICY RESEARCH CONFERENCE,1995,1995,,,,289,304,,,22nd Annual Telecommunications Policy Research Conference,"OCT, 1994",7,0.23,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
PICS: Internet access controls without censorship,"Resnick, Paul; Miller, J",,COMMUNICATIONS OF THE ACM,OCT 1996,1996,39,10,,87,93,,10.1145/236156.236175,,,66,2.28,0,0,0,0,1,7,4,9,6,2,2,4,2,5,3,3,3,3,3,0,0,2,0,3,0,0,1,1,1,0,0,1,0
Recommender systems,"Resnick, Paul; Varian, HR",,COMMUNICATIONS OF THE ACM,MAR 1997,1997,40,3,,56,58,,10.1145/245108.245121,,,1897,67.75,0,0,0,0,0,3,4,16,25,19,24,34,47,51,39,71,80,86,78,73,80,85,101,118,124,109,125,120,120,92,73,68,32
Filtering information on the Internet,"Resnick, Paul",,SCIENTIFIC AMERICAN,MAR 1997,1997,276,3,,62,64,,10.1038/scientificamerican0397-62,,,3,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
REFEREE: trust management for Web applications,"Chu, YH; Feigenbaum, J; LaMacchia, B; Resnick, Paul; Strauss, M",,COMPUTER NETWORKS AND ISDN SYSTEMS,SEP 1997,1997,29,8-13,,953,964,,10.1016/S0169-7552(97)00009-3,6th International World Wide Web Conference,"APR 07-11, 1997",68,2.43,0,0,0,0,0,0,0,1,0,2,2,2,4,4,2,7,6,4,9,6,1,2,1,1,1,3,3,0,2,2,2,1,0
Managing trust in an information-labeling system,"Blaze, M; Feigenbaum, J; Resnick, Paul; Strauss, M",,EUROPEAN TRANSACTIONS ON TELECOMMUNICATIONS,SEP-OCT 1997,1997,8,5,,491,501,,10.1002/ett.4460080507,Conference on Security in Communication Networks,"SEP 16-17, 1996",6,0.21,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
The architectures of mandated access controls,"Lessig, L; Resnick, Paul","Gillett, SE; Vogelsang, I","COMPETITION, REGULATION, AND CONVERGENCE: CURRENT TRENDS IN TELECOMMUNICATIONS POLICY RESEARCH",1999,1999,,,,137,157,,,26th Annual Telecommunications Policy Research Conference (TPRC),"OCT 03-05, 1998",1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The market for evaluations,"Avery, C; Resnick, Paul; Zeckhauser, R",,AMERICAN ECONOMIC REVIEW,JUN 1999,1999,89,3,,564,584,,10.1257/aer.89.3.564,,,123,4.73,0,0,0,0,0,0,0,1,0,5,2,2,3,9,8,5,7,2,7,2,5,3,4,8,3,5,5,6,5,8,8,6,4
Zoning speech on the Internet: A legal and technical model,"Lessig, L; Resnick, Paul",,MICHIGAN LAW REVIEW,NOV 1999,1999,98,2,,395,431,,10.2307/1290343,,,25,0.96,0,0,0,0,0,0,0,0,3,2,2,4,3,3,2,0,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Reputation systems,"Resnick, Paul; Zeckhauser, R; Friedman, E; Kuwabara, K",,COMMUNICATIONS OF THE ACM,DEC 2000,2000,43,12,,45,48,,10.1145/355112.355122,,,1148,45.92,0,0,0,0,0,0,0,0,0,1,11,22,30,54,60,64,88,78,57,74,68,50,55,70,54,65,44,48,44,46,29,18,18
The social cost of cheap pseudonyms,"Friedman, EJ; Resnick, Paul",,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,SUM 2001,2001,10,2,,173,199,,10.1162/105864001300122476,,,266,11.08,0,0,0,0,0,0,0,0,0,0,1,5,14,22,20,20,17,25,14,17,11,9,13,12,14,9,10,8,8,4,4,7,2
Does pornography-blocking software block access to health information on the Internet?,"Richardson, CR; Resnick, PJ; Hansen, DL; Derry, HA; Rideout, VJ",,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,DEC 11 2002,2002,288,22,,2887,2894,,10.1001/jama.288.22.2887,,,36,1.57,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,2,1,8,1,1,3,1,0,1,0,0,0,1,1,1,1,0,0
Adolescents Searching for Health Information on the Internet: An Observational Study,"Hansen, Derek L.; Derry, Holly A.; Resnick, Paul J.; Richardson, Caroline R.",,JOURNAL OF MEDICAL INTERNET RESEARCH,2003,2003,5,4,,,,e25,10.2196/jmir.5.4.e25,,,160,7.27,0,0,0,0,0,0,0,0,0,0,0,1,4,4,5,5,8,8,11,18,12,9,6,11,11,3,7,9,10,4,9,4,1
Calculating error rates for filtering software,"Resnick, Paul; Hansen, DL; Richardson, CR",,COMMUNICATIONS OF THE ACM,SEP 2004,2004,47,9,,67,71,,10.1145/1015864.1015865,,,10,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0
Using social psychology to motivate contributions to online communities,"Ling, K; Beenen, G; Ludford, P; Wang, XQ; Chang, K; Li, X; Cosley, D; Frankowski, D; Terveen, L; Rashid, AM; Resnick, P; Kraut, R",,JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,JUL 2005,2005,10,4,,,,10,,,,226,11.30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,13,12,9,7,9,9,19,20,18,18,14,16,8,15,12,11,5
Eliciting informative feedback: The peer-prediction method,"Miller, N; Resnick, Paul; Zeckhauser, R",,MANAGEMENT SCIENCE,SEP 2005,2005,51,9,,1359,1373,,10.1287/mnsc.1050.0379,,,260,13.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,9,14,8,8,10,7,5,17,16,20,14,17,25,27,16,17,17,5
The value of reputation on eBay: A controlled experiment,"Resnick, Paul; Zeckhauser, Richard; Swanson, John; Lockwood, Kate",,EXPERIMENTAL ECONOMICS,JUN 2006,2006,9,2,,79,101,,10.1007/s10683-006-4309-2,,,486,25.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,29,35,37,27,34,25,30,41,29,25,31,37,18,30,22,15,5
Follow the Reader: Filtering Comments on Slashdot,"Lampe, Cliff; Johnston, Erik; Resnick, Paul",,"CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, VOLS 1 AND 2",2007,2007,,,,1253,1262,,,Conference on Human Factors in Computing Systems,"APR 28-MAY 03, 2007",41,2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,3,5,6,2,4,2,5,3,2,1,1,0
